"module name","license","repository"
"@HUSO/watermark@0.0.0","MIT",""
"@babel/code-frame@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame"
"@babel/generator@7.2.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator"
"@babel/helper-function-name@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name"
"@babel/helper-get-function-arity@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity"
"@babel/helper-split-export-declaration@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-split-export-declaration"
"@babel/highlight@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-highlight"
"@babel/parser@7.2.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-parser"
"@babel/template@7.1.2","MIT","https://github.com/babel/babel/tree/master/packages/babel-template"
"@babel/traverse@7.1.6","MIT","https://github.com/babel/babel/tree/master/packages/babel-traverse"
"@babel/types@7.2.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-types"
"@samverschueren/stream-to-observable@0.3.0","MIT","https://github.com/SamVerschueren/stream-to-observable"
"@sindresorhus/df@1.0.1","MIT","https://github.com/sindresorhus/df"
"@sindresorhus/df@2.1.0","MIT","https://github.com/sindresorhus/df"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"acorn-jsx@5.0.1","MIT","https://github.com/RReverser/acorn-jsx"
"acorn@6.0.4","MIT","https://github.com/acornjs/acorn"
"ajv@6.6.1","MIT","https://github.com/epoberezkin/ajv"
"ansi-escapes@3.1.0","MIT","https://github.com/sindresorhus/ansi-escapes"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@3.0.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@4.0.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@2.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"any-observable@0.3.0","MIT","https://github.com/sindresorhus/any-observable"
"argparse@1.0.10","MIT","https://github.com/nodeca/argparse"
"array-find-index@1.0.2","MIT","https://github.com/sindresorhus/array-find-index"
"array-union@1.0.2","MIT","https://github.com/sindresorhus/array-union"
"array-uniq@1.0.3","MIT","https://github.com/sindresorhus/array-uniq"
"arrify@1.0.1","MIT","https://github.com/sindresorhus/arrify"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap"
"astral-regex@1.0.0","MIT","https://github.com/kevva/astral-regex"
"babel-eslint@10.0.1","MIT","https://github.com/babel/babel-eslint"
"balanced-match@1.0.0","MIT","https://github.com/juliangruber/balanced-match"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"builtin-modules@1.1.1","MIT","https://github.com/sindresorhus/builtin-modules"
"caller-callsite@2.0.0","MIT","https://github.com/sindresorhus/caller-callsite"
"caller-path@0.1.0","MIT","https://github.com/sindresorhus/caller-path"
"caller-path@2.0.0","MIT","https://github.com/sindresorhus/caller-path"
"callsites@0.2.0","MIT","https://github.com/sindresorhus/callsites"
"callsites@2.0.0","MIT","https://github.com/sindresorhus/callsites"
"chalk@1.1.3","MIT","https://github.com/chalk/chalk"
"chalk@2.4.1","MIT","https://github.com/chalk/chalk"
"chardet@0.7.0","MIT","https://github.com/runk/node-chardet"
"ci-info@1.6.0","MIT","https://github.com/watson/ci-info"
"circular-json@0.3.3","MIT","https://github.com/WebReflection/circular-json"
"cli-cursor@2.1.0","MIT","https://github.com/sindresorhus/cli-cursor"
"cli-truncate@0.2.1","MIT","https://github.com/sindresorhus/cli-truncate"
"cli-width@2.2.0","ISC","https://github.com/knownasilya/cli-width"
"code-point-at@1.1.0","MIT","https://github.com/sindresorhus/code-point-at"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"contains-path@0.1.0","MIT","https://github.com/jonschlinkert/contains-path"
"cosmiconfig@5.0.7","MIT","https://github.com/davidtheclark/cosmiconfig"
"cross-spawn-async@2.2.5","MIT","https://github.com/IndigoUnited/node-cross-spawn-async"
"cross-spawn@6.0.5","MIT","https://github.com/moxystudio/node-cross-spawn"
"date-fns@1.30.1","MIT","https://github.com/date-fns/date-fns"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug"
"debug@3.2.6","MIT","https://github.com/visionmedia/debug"
"debuglog@1.0.1","MIT","https://github.com/sam-github/node-debuglog"
"deep-is@0.1.3","MIT","https://github.com/thlorenz/deep-is"
"define-properties@1.1.3","MIT","https://github.com/ljharb/define-properties"
"dezalgo@1.0.3","ISC","https://github.com/npm/dezalgo"
"dir-glob@2.0.0","MIT","https://github.com/kevva/dir-glob"
"doctrine@1.5.0","BSD","https://github.com/eslint/doctrine"
"doctrine@2.1.0","Apache-2.0","https://github.com/eslint/doctrine"
"elegant-spinner@1.0.1","MIT","https://github.com/sindresorhus/elegant-spinner"
"end-of-stream@1.4.1","MIT","https://github.com/mafintosh/end-of-stream"
"error-ex@1.3.2","MIT","https://github.com/qix-/node-error-ex"
"es-abstract@1.12.0","MIT","https://github.com/ljharb/es-abstract"
"es-to-primitive@1.2.0","MIT","https://github.com/ljharb/es-to-primitive"
"escape-string-applescript@2.0.0","MIT","https://github.com/sindresorhus/escape-string-applescript"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"eslint-config-airbnb-base@13.1.0","MIT","https://github.com/airbnb/javascript"
"eslint-import-resolver-node@0.3.2","MIT","https://github.com/benmosher/eslint-plugin-import"
"eslint-module-utils@2.2.0","MIT","https://github.com/benmosher/eslint-plugin-import"
"eslint-plugin-import@2.14.0","MIT","https://github.com/benmosher/eslint-plugin-import"
"eslint-restricted-globals@0.1.1","MIT","https://github.com/doshisid/eslint-restricted-globals"
"eslint-scope@3.7.1","BSD-2-Clause","https://github.com/eslint/eslint-scope"
"eslint-scope@4.0.0","BSD-2-Clause","https://github.com/eslint/eslint-scope"
"eslint-utils@1.3.1","MIT","https://github.com/mysticatea/eslint-utils"
"eslint-visitor-keys@1.0.0","Apache-2.0","https://github.com/eslint/eslint-visitor-keys"
"eslint@5.10.0","MIT","https://github.com/eslint/eslint"
"espree@5.0.0","BSD-2-Clause","https://github.com/eslint/espree"
"esprima@4.0.1","BSD-2-Clause","https://github.com/jquery/esprima"
"esquery@1.0.1","BSD-3-Clause","https://github.com/jrfeenst/esquery"
"esrecurse@4.2.1","BSD-2-Clause","https://github.com/estools/esrecurse"
"estraverse@4.2.0","BSD-2-Clause","https://github.com/estools/estraverse"
"esutils@2.0.2","BSD","https://github.com/estools/esutils"
"execa@0.10.0","MIT","https://github.com/sindresorhus/execa"
"execa@0.2.2","MIT","https://github.com/sindresorhus/execa"
"execa@1.0.0","MIT","https://github.com/sindresorhus/execa"
"external-editor@3.0.3","MIT","https://github.com/mrkmg/node-external-editor"
"fast-deep-equal@2.0.1","MIT","https://github.com/epoberezkin/fast-deep-equal"
"fast-json-stable-stringify@2.0.0","MIT","https://github.com/epoberezkin/fast-json-stable-stringify"
"fast-levenshtein@2.0.6","MIT","https://github.com/hiddentao/fast-levenshtein"
"figures@1.7.0","MIT","https://github.com/sindresorhus/figures"
"figures@2.0.0","MIT","https://github.com/sindresorhus/figures"
"file-entry-cache@2.0.0","MIT","https://github.com/royriojas/file-entry-cache"
"find-up@1.1.2","MIT","https://github.com/sindresorhus/find-up"
"find-up@2.1.0","MIT","https://github.com/sindresorhus/find-up"
"find-up@3.0.0","MIT","https://github.com/sindresorhus/find-up"
"flat-cache@1.3.4","MIT","https://github.com/royriojas/flat-cache"
"fs-extra@0.30.0","MIT","https://github.com/jprichardson/node-fs-extra"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath"
"function-bind@1.1.1","MIT","https://github.com/Raynos/function-bind"
"functional-red-black-tree@1.0.1","MIT","https://github.com/mikolalysenko/functional-red-black-tree"
"get-stdin@6.0.0","MIT","https://github.com/sindresorhus/get-stdin"
